                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75744,                 3.0385,                 1.1854,                0.61292,                0.87324,                0.88771,                 0.6149,                 1.3923,                 1.2973,                 1.2454,                      0,                      0,                      0
                      2,                 1.1152,                  2.597,                 1.3677,                0.58866,                 0.8945,                0.88796,                0.61509,                  1.426,                 1.3186,                 1.2573,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.1802,                  2.564,                 1.3674,                0.55739,                0.86817,                0.87424,                0.60762,                 1.4427,                 1.3385,                 1.2642,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.2776,                 2.8662,                 1.5857,                0.56409,                0.83333,                 0.8333,                0.60048,                 1.4412,                 1.3662,                 1.2632,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.0437,                 2.5231,                 1.4277,                0.60258,                0.66667,                0.87219,                0.61018,                 1.4663,                 1.4202,                 1.2809,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                0.98773,                 2.2529,                 1.4255,                 0.8339,                0.57073,                0.83083,                 0.5896,                 1.4783,                 1.4741,                 1.2914,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.3239,                 3.3372,                 1.6962,                 0.8265,                0.57044,                0.85885,                 0.5618,                 1.5052,                 1.5438,                 1.3129,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.0462,                   2.42,                 1.4864,                 0.8264,                0.57993,                0.88622,                0.57112,                 1.5209,                 1.5878,                 1.3271,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.1824,                 2.2001,                 1.5787,                 0.8242,                0.58179,                0.88455,                0.57323,                 1.5241,                 1.6312,                 1.3311,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.0181,                  2.366,                  1.364,                0.81441,                0.58333,                0.77304,                0.54746,                 1.5368,                 1.6786,                  1.341,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.0054,                 2.9971,                 1.3723,                0.80485,                0.58333,                0.76742,                0.52185,                  1.542,                 1.7267,                 1.3455,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.0948,                 2.6749,                 1.4081,                0.78918,                0.58333,                0.74801,                0.52725,                 1.5439,                 1.7498,                 1.3468,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 1.1442,                 2.1593,                 1.5188,                0.76485,                0.58333,                0.74448,                0.53411,                 1.5435,                 1.7581,                 1.3469,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.0879,                 2.1168,                 1.4268,                0.75056,                0.58333,                0.74448,                 0.5259,                 1.5444,                 1.8056,                 1.3457,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 1.0801,                 2.1209,                 1.4392,                0.79376,                0.58333,                0.74435,                0.52589,                 1.5344,                  1.826,                 1.3459,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.1379,                 2.9869,                 1.4536,                0.89348,                0.39854,                0.74447,                 0.5133,                 1.5137,                 1.8685,                 1.3402,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.92843,                 1.6192,                 1.2566,                0.93527,                0.36367,                0.66008,                0.49226,                 1.5031,                 1.9192,                 1.3432,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                   1.24,                 1.9611,                 1.5885,                0.93527,                0.36367,                0.66008,                0.49226,                 1.5031,                 1.9192,                 1.3432,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                0.73325,                 1.4167,                 1.1713,                0.93381,                0.36428,                0.65967,                0.48403,                 1.5032,                 1.9557,                 1.3425,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 1.7986,                 3.0748,                 2.1089,                0.93381,                0.36428,                0.65967,                0.48403,                 1.5032,                 1.9557,                 1.3425,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 1.0288,                  2.262,                 1.3098,                0.93174,                  0.365,                0.63186,                  0.493,                 1.5111,                 2.0162,                 1.3652,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 1.1986,                 2.1173,                 1.4116,                0.93174,                  0.365,                0.63186,                  0.493,                 1.5111,                 2.0162,                 1.3652,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                 1.2632,                 2.3877,                 1.6312,                0.91447,                0.37141,                0.63152,                0.47724,                 1.5406,                 2.0798,                 1.3877,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                0.86873,                 1.9762,                 1.4006,                0.91447,                0.37141,                0.63152,                0.47724,                 1.5406,                 2.0798,                 1.3877,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                0.90383,                 1.1807,                 1.1358,                0.90547,                0.37167,                0.61805,                 0.4601,                 1.5616,                 2.1655,                 1.4032,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                0.96428,                 1.6068,                 1.3362,                0.90547,                0.37167,                0.61805,                 0.4601,                 1.5616,                 2.1655,                 1.4032,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                0.96731,                 1.9706,                 1.3369,                0.90728,                0.37196,                0.61819,                0.45456,                 1.5759,                 2.2184,                 1.4122,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                 0.8726,                 1.3109,                 1.2244,                0.90728,                0.37196,                0.61819,                0.45456,                 1.5759,                 2.2184,                 1.4122,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.84107,                 1.6661,                 1.4198,                0.90612,                0.37155,                0.57676,                0.45489,                 1.6106,                 2.2458,                 1.4377,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                0.97422,                 1.9836,                 1.3894,                0.90612,                0.37155,                0.57676,                0.45489,                 1.6106,                 2.2458,                 1.4377,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                 1.1423,                 1.9519,                 1.3798,                0.89013,                0.39616,                0.45398,                0.31401,                 1.6245,                 2.2814,                 1.4538,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                0.51666,                0.96178,                 1.0483,                0.89013,                0.39616,                0.45398,                0.31401,                 1.6245,                 2.2814,                 1.4538,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 1.2093,                 1.9069,                 1.5115,                0.90232,                0.37145,                0.45321,                0.31202,                 1.6549,                 2.2967,                 1.4823,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 1.1283,                   1.69,                 1.4295,                0.90232,                0.37145,                0.45321,                0.31202,                 1.6549,                 2.2967,                 1.4823,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                 1.1402,                 2.0336,                 1.5095,                  0.896,                0.39158,                0.44637,                 0.2998,                 1.6575,                 2.3402,                 1.4889,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 1.0012,                 1.3798,                 1.3762,                  0.896,                0.39158,                0.44637,                 0.2998,                 1.6575,                 2.3402,                 1.4889,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.84739,                 1.2541,                 1.1439,                0.89095,                0.39406,                0.41353,                  0.267,                 1.6712,                 2.3815,                  1.503,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.95814,                 1.1345,                 1.3685,                0.89095,                0.39406,                0.41353,                  0.267,                 1.6712,                 2.3815,                  1.503,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 0.6227,                  1.023,                 1.0047,                0.88792,                0.39359,                0.41377,                0.26337,                 1.6709,                 2.4042,                 1.5009,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.69935,                 1.3319,                 1.2084,                0.88792,                0.39359,                0.41377,                0.26337,                 1.6709,                 2.4042,                 1.5009,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.65529,                 1.6656,                 1.2991,                0.87068,                0.38223,                0.41191,                0.26552,                 1.6436,                  2.422,                 1.4835,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.74721,                 1.0652,                 1.1289,                0.87068,                0.38223,                0.41191,                0.26552,                 1.6436,                  2.422,                 1.4835,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                0.58597,                 1.1588,                 1.1336,                0.88811,                0.37007,                0.41192,                0.31531,                 1.6537,                 2.4494,                 1.4883,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.87556,                 2.0913,                 1.2777,                0.88811,                0.37007,                0.41192,                0.31531,                 1.6537,                 2.4494,                 1.4883,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.87178,                 0.9704,                  1.397,                0.88631,                0.36962,                0.41241,                0.31386,                 1.6764,                 2.4925,                 1.4987,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.67563,                0.90165,                 1.1127,                0.88631,                0.36962,                0.41241,                0.31386,                 1.6764,                 2.4925,                 1.4987,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.75148,                 1.0688,                 1.1137,                0.89789,                0.36994,                0.41267,                0.31979,                 1.6681,                  2.484,                 1.4952,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.88185,                 1.4131,                 1.3375,                0.89789,                0.36994,                0.41267,                0.31979,                 1.6681,                  2.484,                 1.4952,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.70006,                0.93241,                  1.116,                0.90712,                0.37105,                0.41094,                0.31429,                 1.6806,                 2.4831,                 1.5035,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.55277,                0.79243,                 1.0398,                0.90712,                0.37105,                0.41094,                0.31429,                 1.6806,                 2.4831,                 1.5035,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.84605,                0.97819,                 1.1886,                0.91315,                0.37157,                0.41434,                0.31441,                 1.7199,                 2.5099,                 1.5515,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.73724,                 1.0206,                 1.3529,                0.91315,                0.37157,                0.41434,                0.31441,                 1.7199,                 2.5099,                 1.5515,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.99023,                 1.3438,                 1.2986,                0.91315,                0.37157,                0.41434,                0.31441,                 1.7199,                 2.5099,                 1.5515,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.65602,                0.96344,                 1.2324,                0.92641,                 0.3728,                0.41458,                0.31462,                 1.7338,                 2.4975,                 1.5604,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.90118,                 1.1287,                 1.2154,                0.92641,                 0.3728,                0.41458,                0.31462,                 1.7338,                 2.4975,                 1.5604,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                0.96019,                0.90043,                 1.2257,                0.92641,                 0.3728,                0.41458,                0.31462,                 1.7338,                 2.4975,                 1.5604,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                0.66415,                 1.0711,                 1.0859,                0.76868,                0.37354,                0.41373,                0.30747,                 1.7832,                 2.5196,                 1.5967,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.85008,                 1.2221,                 1.1483,                0.76868,                0.37354,                0.41373,                0.30747,                 1.7832,                 2.5196,                 1.5967,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.86839,                 1.3318,                 1.3264,                0.76868,                0.37354,                0.41373,                0.30747,                 1.7832,                 2.5196,                 1.5967,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.58031,                0.69752,                 1.0102,                0.77448,                0.37361,                 0.4136,                0.30761,                 1.7882,                  2.534,                  1.602,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.76404,                 1.0718,                 1.2589,                0.77448,                0.37361,                 0.4136,                0.30761,                 1.7882,                  2.534,                  1.602,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                0.75299,                0.86003,                 1.2433,                0.77448,                0.37361,                 0.4136,                0.30761,                 1.7882,                  2.534,                  1.602,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                0.45826,                 1.2803,                 1.1365,                0.77665,                0.37422,                0.41534,                0.30791,                 1.7935,                 2.5156,                 1.5978,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                0.64216,                 1.1604,                 1.1396,                0.77665,                0.37422,                0.41534,                0.30791,                 1.7935,                 2.5156,                 1.5978,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                0.77005,                0.95094,                 1.1489,                0.77665,                0.37422,                0.41534,                0.30791,                 1.7935,                 2.5156,                 1.5978,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                0.75418,                 1.1657,                 1.3454,                0.77478,                0.38333,                0.41608,                0.30811,                 1.8014,                 2.4913,                 1.6031,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                0.54644,                0.78556,                 1.0043,                0.77478,                0.38333,                0.41608,                0.30811,                 1.8014,                 2.4913,                 1.6031,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                0.70923,                0.76537,                 1.0747,                0.77478,                0.38333,                0.41608,                0.30811,                 1.8014,                 2.4913,                 1.6031,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                0.70854,                0.97965,                 1.1508,                0.77383,                0.38333,                0.41701,                0.29004,                 1.8033,                  2.539,                 1.6065,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                0.74483,                0.76297,                 1.1349,                0.77383,                0.38333,                0.41701,                0.29004,                 1.8033,                  2.539,                 1.6065,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                0.56851,                0.82777,                 1.1063,                0.77383,                0.38333,                0.41701,                0.29004,                 1.8033,                  2.539,                 1.6065,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                0.68046,                0.95235,                 1.1733,                0.77403,                0.38642,                0.42111,                0.30842,                 1.8357,                 2.5347,                   1.62,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                0.64721,                 0.7189,                 1.0047,                0.77403,                0.38642,                0.42111,                0.30842,                 1.8357,                 2.5347,                   1.62,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                0.81614,                 1.2602,                  1.251,                0.77403,                0.38642,                0.42111,                0.30842,                 1.8357,                 2.5347,                   1.62,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                0.90164,                 1.0844,                 1.4285,                0.77308,                0.38681,                0.42242,                0.29209,                 1.8387,                 2.5238,                 1.6316,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                0.86542,                 1.0712,                 1.2566,                0.77308,                0.38681,                0.42242,                0.29209,                 1.8387,                 2.5238,                 1.6316,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                0.78307,                  1.036,                 1.1664,                0.77308,                0.38681,                0.42242,                0.29209,                 1.8387,                 2.5238,                 1.6316,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                0.83084,                 0.8559,                  1.093,                0.76408,                0.38701,                0.42215,                0.29057,                 1.7992,                 2.5054,                 1.5691,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                0.58589,                 0.7496,                 1.0492,                0.76408,                0.38701,                0.42215,                0.29057,                 1.7992,                 2.5054,                 1.5691,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                0.75196,                 1.0868,                 1.1529,                0.76408,                0.38701,                0.42215,                0.29057,                 1.7992,                 2.5054,                 1.5691,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                 1.0125,                0.86268,                 1.4222,                0.76352,                0.38654,                0.42362,                0.29364,                 1.8326,                 2.5116,                 1.5827,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                 0.7819,                0.74952,                 1.2793,                0.76352,                0.38654,                0.42362,                0.29364,                 1.8326,                 2.5116,                 1.5827,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                0.89506,                 1.2349,                 1.3281,                0.76352,                0.38654,                0.42362,                0.29364,                 1.8326,                 2.5116,                 1.5827,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                0.75033,                0.95256,                 1.1963,                0.93107,                0.38652,                0.42329,                 0.2892,                 1.8145,                 2.4961,                 1.5737,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                0.66799,                0.94439,                 1.0665,                0.93107,                0.38652,                0.42329,                 0.2892,                 1.8145,                 2.4961,                 1.5737,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                 0.5945,                 1.0179,                 1.0704,                0.93107,                0.38652,                0.42329,                 0.2892,                 1.8145,                 2.4961,                 1.5737,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                  1.057,                 1.2547,                 1.5595,                0.93107,                0.38652,                0.42329,                 0.2892,                 1.8145,                 2.4961,                 1.5737,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                0.74833,                 1.3224,                 1.1842,                 0.9306,                0.38703,                0.42258,                0.29035,                 1.8329,                 2.4774,                 1.5791,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                0.68622,                0.90285,                 1.1658,                 0.9306,                0.38703,                0.42258,                0.29035,                 1.8329,                 2.4774,                 1.5791,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                0.59894,                0.81369,                 1.0971,                 0.9306,                0.38703,                0.42258,                0.29035,                 1.8329,                 2.4774,                 1.5791,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.58039,                0.54468,                0.98621,                 0.9306,                0.38703,                0.42258,                0.29035,                 1.8329,                 2.4774,                 1.5791,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                0.57552,                0.57125,                0.89469,                0.93042,                  0.387,                0.42344,                0.29846,                 1.8143,                 2.4673,                 1.5497,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.68668,                0.90735,                 1.0856,                0.93042,                  0.387,                0.42344,                0.29846,                 1.8143,                 2.4673,                 1.5497,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                0.57753,                0.61136,                 1.0298,                0.93042,                  0.387,                0.42344,                0.29846,                 1.8143,                 2.4673,                 1.5497,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                0.49725,                0.55925,                0.99606,                0.93042,                  0.387,                0.42344,                0.29846,                 1.8143,                 2.4673,                 1.5497,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                0.68407,                 0.6686,                 1.2233,                0.93358,                0.38604,                0.42383,                0.29866,                 1.7889,                 2.4288,                 1.5029,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                0.62171,                0.61757,                0.99377,                0.93358,                0.38604,                0.42383,                0.29866,                 1.7889,                 2.4288,                 1.5029,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                0.46861,                0.49726,                0.93652,                0.93358,                0.38604,                0.42383,                0.29866,                 1.7889,                 2.4288,                 1.5029,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                0.62171,                0.62999,                0.92705,                0.93358,                0.38604,                0.42383,                0.29866,                 1.7889,                 2.4288,                 1.5029,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                0.45718,                0.50837,                0.91556,                0.93902,                0.38635,                0.42257,                0.29195,                  1.847,                 2.5663,                 1.5445,             2.3444e-06,             2.3444e-06,             2.3444e-06
